date,price,volume,sticker
Dec 02 2022 01: +0,0.03,1962,Sticker | FaZe Clan | Antwerp 2022
Dec 03 2022 01: +0,0.03,2292,Sticker | FaZe Clan | Antwerp 2022
Dec 04 2022 01: +0,0.03,2484,Sticker | FaZe Clan | Antwerp 2022
Dec 05 2022 01: +0,0.03,2528,Sticker | FaZe Clan | Antwerp 2022
Dec 06 2022 01: +0,0.03,2107,Sticker | FaZe Clan | Antwerp 2022
Dec 07 2022 01: +0,0.03,2326,Sticker | FaZe Clan | Antwerp 2022
Dec 08 2022 01: +0,0.03,3438,Sticker | FaZe Clan | Antwerp 2022
Dec 09 2022 01: +0,0.03,2024,Sticker | FaZe Clan | Antwerp 2022
Dec 10 2022 01: +0,0.03,4128,Sticker | FaZe Clan | Antwerp 2022
Dec 11 2022 01: +0,0.03,2694,Sticker | FaZe Clan | Antwerp 2022
Dec 12 2022 01: +0,0.03,3957,Sticker | FaZe Clan | Antwerp 2022
Dec 13 2022 01: +0,0.03,1886,Sticker | FaZe Clan | Antwerp 2022
Dec 14 2022 01: +0,0.03,3417,Sticker | FaZe Clan | Antwerp 2022
Dec 15 2022 01: +0,0.03,2408,Sticker | FaZe Clan | Antwerp 2022
Dec 16 2022 01: +0,0.03,2081,Sticker | FaZe Clan | Antwerp 2022
Dec 17 2022 01: +0,0.03,2180,Sticker | FaZe Clan | Antwerp 2022
Dec 18 2022 01: +0,0.03,2256,Sticker | FaZe Clan | Antwerp 2022
Dec 19 2022 01: +0,0.03,1985,Sticker | FaZe Clan | Antwerp 2022
Dec 20 2022 01: +0,0.03,1940,Sticker | FaZe Clan | Antwerp 2022
Dec 21 2022 01: +0,0.03,2919,Sticker | FaZe Clan | Antwerp 2022
Dec 22 2022 01: +0,0.03,2446,Sticker | FaZe Clan | Antwerp 2022
Dec 23 2022 01: +0,0.03,1816,Sticker | FaZe Clan | Antwerp 2022
Dec 24 2022 01: +0,0.03,2538,Sticker | FaZe Clan | Antwerp 2022
Dec 25 2022 01: +0,0.03,1837,Sticker | FaZe Clan | Antwerp 2022
Dec 26 2022 01: +0,0.03,2014,Sticker | FaZe Clan | Antwerp 2022
Dec 27 2022 01: +0,0.03,1993,Sticker | FaZe Clan | Antwerp 2022
Dec 28 2022 01: +0,0.03,2683,Sticker | FaZe Clan | Antwerp 2022
Dec 29 2022 01: +0,0.03,2274,Sticker | FaZe Clan | Antwerp 2022
Dec 30 2022 01: +0,0.03,3209,Sticker | FaZe Clan | Antwerp 2022
Dec 31 2022 01: +0,0.03,2070,Sticker | FaZe Clan | Antwerp 2022
Jan 01 2023 01: +0,0.03,2574,Sticker | FaZe Clan | Antwerp 2022
Jan 02 2023 01: +0,0.03,3233,Sticker | FaZe Clan | Antwerp 2022
Jan 03 2023 01: +0,0.03,4764,Sticker | FaZe Clan | Antwerp 2022
Jan 04 2023 01: +0,0.03,5789,Sticker | FaZe Clan | Antwerp 2022
Jan 05 2023 01: +0,0.03,2753,Sticker | FaZe Clan | Antwerp 2022
Jan 06 2023 01: +0,0.03,5404,Sticker | FaZe Clan | Antwerp 2022
Jan 07 2023 01: +0,0.03,2317,Sticker | FaZe Clan | Antwerp 2022
Jan 08 2023 01: +0,0.03,7497,Sticker | FaZe Clan | Antwerp 2022
Jan 09 2023 01: +0,0.03,3864,Sticker | FaZe Clan | Antwerp 2022
Jan 10 2023 01: +0,0.03,4947,Sticker | FaZe Clan | Antwerp 2022
Jan 11 2023 01: +0,0.03,4230,Sticker | FaZe Clan | Antwerp 2022
Jan 12 2023 01: +0,0.03,3225,Sticker | FaZe Clan | Antwerp 2022
Jan 13 2023 01: +0,0.03,3574,Sticker | FaZe Clan | Antwerp 2022
Jan 14 2023 01: +0,0.03,2663,Sticker | FaZe Clan | Antwerp 2022
Jan 15 2023 01: +0,0.03,2762,Sticker | FaZe Clan | Antwerp 2022
Jan 16 2023 01: +0,0.03,2423,Sticker | FaZe Clan | Antwerp 2022
Jan 17 2023 01: +0,0.03,2461,Sticker | FaZe Clan | Antwerp 2022
Jan 18 2023 01: +0,0.03,1971,Sticker | FaZe Clan | Antwerp 2022
Jan 19 2023 01: +0,0.03,1865,Sticker | FaZe Clan | Antwerp 2022
Jan 20 2023 01: +0,0.03,2668,Sticker | FaZe Clan | Antwerp 2022
Jan 21 2023 01: +0,0.03,5639,Sticker | FaZe Clan | Antwerp 2022
Jan 22 2023 01: +0,0.03,2830,Sticker | FaZe Clan | Antwerp 2022
Jan 23 2023 01: +0,0.03,4281,Sticker | FaZe Clan | Antwerp 2022
Jan 24 2023 01: +0,0.03,2110,Sticker | FaZe Clan | Antwerp 2022
Jan 25 2023 01: +0,0.03,3880,Sticker | FaZe Clan | Antwerp 2022
Jan 26 2023 01: +0,0.03,1960,Sticker | FaZe Clan | Antwerp 2022
Jan 27 2023 01: +0,0.03,2707,Sticker | FaZe Clan | Antwerp 2022
Jan 28 2023 01: +0,0.03,4541,Sticker | FaZe Clan | Antwerp 2022
Jan 29 2023 01: +0,0.03,4964,Sticker | FaZe Clan | Antwerp 2022
