date,price,volume,case
Jan 22 2015 01: +0,0.094,60885,Operation Breakout Weapon Case
Jan 23 2015 01: +0,0.096,74511,Operation Breakout Weapon Case
Jan 24 2015 01: +0,0.096,73608,Operation Breakout Weapon Case
Jan 25 2015 01: +0,0.086,78505,Operation Breakout Weapon Case
Jan 26 2015 01: +0,0.082,68332,Operation Breakout Weapon Case
Jan 27 2015 01: +0,0.081,63153,Operation Breakout Weapon Case
Jan 28 2015 01: +0,0.08,63052,Operation Breakout Weapon Case
Jan 29 2015 01: +0,0.079,64809,Operation Breakout Weapon Case
Jan 30 2015 01: +0,0.079,79090,Operation Breakout Weapon Case
Jan 31 2015 01: +0,0.078,86124,Operation Breakout Weapon Case
Feb 01 2015 01: +0,0.07,81015,Operation Breakout Weapon Case
Feb 02 2015 01: +0,0.066,69120,Operation Breakout Weapon Case
Feb 03 2015 01: +0,0.069,69420,Operation Breakout Weapon Case
Feb 04 2015 01: +0,0.069,65806,Operation Breakout Weapon Case
Feb 05 2015 01: +0,0.07,63403,Operation Breakout Weapon Case
Feb 06 2015 01: +0,0.069,73215,Operation Breakout Weapon Case
Feb 07 2015 01: +0,0.067,84057,Operation Breakout Weapon Case
Feb 08 2015 01: +0,0.061,80499,Operation Breakout Weapon Case
Feb 09 2015 01: +0,0.058,62231,Operation Breakout Weapon Case
Feb 10 2015 01: +0,0.059,59251,Operation Breakout Weapon Case
Feb 11 2015 01: +0,0.058,60456,Operation Breakout Weapon Case
Feb 12 2015 01: +0,0.058,65315,Operation Breakout Weapon Case
Feb 13 2015 01: +0,0.058,75088,Operation Breakout Weapon Case
Feb 14 2015 01: +0,0.057,83652,Operation Breakout Weapon Case
Feb 15 2015 01: +0,0.05,83682,Operation Breakout Weapon Case
Feb 16 2015 01: +0,0.048,78131,Operation Breakout Weapon Case
Feb 17 2015 01: +0,0.049,69235,Operation Breakout Weapon Case
Feb 18 2015 01: +0,0.048,67345,Operation Breakout Weapon Case
Feb 19 2015 01: +0,0.049,69682,Operation Breakout Weapon Case
Feb 20 2015 01: +0,0.052,78522,Operation Breakout Weapon Case
Feb 21 2015 01: +0,0.051,86902,Operation Breakout Weapon Case
Feb 22 2015 01: +0,0.047,79919,Operation Breakout Weapon Case
Feb 23 2015 01: +0,0.046,67919,Operation Breakout Weapon Case
Feb 24 2015 01: +0,0.046,66301,Operation Breakout Weapon Case
Feb 25 2015 01: +0,0.049,71018,Operation Breakout Weapon Case
Feb 26 2015 01: +0,0.048,78484,Operation Breakout Weapon Case
Feb 27 2015 01: +0,0.049,96468,Operation Breakout Weapon Case
Feb 28 2015 01: +0,0.05,98711,Operation Breakout Weapon Case
Mar 01 2015 01: +0,0.048,91872,Operation Breakout Weapon Case
Mar 02 2015 01: +0,0.046,77198,Operation Breakout Weapon Case
Mar 03 2015 01: +0,0.046,73022,Operation Breakout Weapon Case
Mar 04 2015 01: +0,0.045,78260,Operation Breakout Weapon Case
Mar 05 2015 01: +0,0.044,85267,Operation Breakout Weapon Case
Mar 06 2015 01: +0,0.044,93184,Operation Breakout Weapon Case
Mar 07 2015 01: +0,0.044,91823,Operation Breakout Weapon Case
Mar 08 2015 01: +0,0.042,79876,Operation Breakout Weapon Case
Mar 09 2015 01: +0,0.037,73618,Operation Breakout Weapon Case
